tweet_id,name,stage,jpg_url,img_num,p1,p1_conf,p2,p2_conf,p3,p3_conf,retweet_count,favorite_count,ratings
890240255349198849,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,pembroke,0.511319,cardigan,0.451038,chihuahua,0.0292482,7711,32467,1.4
889531135344209921,Stuart,puppo,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,golden retriever,0.953442,labrador retriever,0.0138341,redbone,0.00795775,2321,15359,1.3
886366144734445568,Roscoe,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,french bulldog,0.999201,chihuahua,0.000361178,boston bull,7.55616e-05,3316,21524,1.2
884162670584377345,Yogi,doggo,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,german shepherd,0.707046,malinois,0.199396,norwegian elkhound,0.0491476,3128,20771,1.2
883360690899218434,Grizzwald,floofer,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1,chow,0.987997,tibetan mastiff,0.00709872,newfoundland,0.00214033,3825,22986,1.3
882762694511734784,Gus,pupper,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,labrador retriever,0.85005,chesapeake bay retriever,0.074257,flat-coated retriever,0.0155793999999999,5134,28903,1.2
881536004380872706,a,pupper,https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg,1,samoyed,0.281463,angora,0.272066,persian cat,0.114854,16570,50199,1.4
878776093423087618,Snoopy,puppo,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,2,italian greyhound,0.734684,whippet,0.1504869999999999,ibizan hound,0.0397246,4319,19763,1.3
876838120628539392,Ginger,pupper,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,1,bloodhound,0.575751,redbone,0.24097,tibetan mastiff,0.0889348,3506,21125,1.2
874296783580663808,Jed,pupper,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,1,cocker spaniel,0.437216,miniature poodle,0.2771909999999999,toy poodle,0.157402,4308,26651,1.3
874012996292530176,Sebastian,puppo,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,2,cardigan,0.806674,pembroke,0.116622,kelpie,0.0491819,11007,35501,1.3
873213775632977920,Sierra,pupper,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,1,vizsla,0.6197819999999999,bloodhound,0.338069,chesapeake bay retriever,0.0126763,1667,7467,1.2
871762521631449091,Rover,pupper,https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg,2,labrador retriever,0.921393,golden retriever,0.064608,bloodhound,0.00338337,3678,20787,1.2
871515927908634625,Napolean,doggo,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,2,komondor,0.974781,briard,0.0200412999999999,swab,0.00322824,3628,20730,1.2
869596645499047938,Scout,doggo,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,1,chihuahua,0.955156,toy terrier,0.00805373,muzzle,0.00629563,3327,16476,1.2
867421006826221569,Shikha,puppo,https://pbs.twimg.com/media/DAmyy8FXYAIH8Ty.jpg,1,eskimo dog,0.6164569999999999,siberian husky,0.38133,malamute,0.00167022,2697,16755,1.2
866450705531457537,Jamesy,pupper,https://pbs.twimg.com/media/DAZAUfBXcAAG_Nn.jpg,2,french bulldog,0.905334,boston bull,0.0780597,pug,0.00177092,32883,106827,1.3
850019790995546112,Boomer,pupper,https://pbs.twimg.com/media/C8vgfTsXgAA561h.jpg,3,shetland sheepdog,0.759907,collie,0.107405,pembroke,0.0523353,5459,21944,1.2
846514051647705089,Barney,doggo,https://pbs.twimg.com/media/C79sB4xXwAEvwKY.jpg,2,golden retriever,0.650003,leonberg,0.0651992,norfolk terrier,0.0529553,13076,48410,1.3
845397057150107648,Mimosa,doggo,https://pbs.twimg.com/media/C7t0IzLWkAINoft.jpg,1,dandie dinmont,0.394404,maltese dog,0.1865369999999999,west highland white terrier,0.1819849999999999,2072,8241,1.3
845306882940190720,Pickles,pupper,https://pbs.twimg.com/media/C7siH5DXkAACnDT.jpg,1,irish water spaniel,0.567475,labrador retriever,0.169496,curly-coated retriever,0.101518,6039,25225,1.2
837110210464448512,Clark,pupper,https://pbs.twimg.com/media/C54DS1kXQAEU5pS.jpg,1,siberian husky,0.767696,eskimo dog,0.217079,malamute,0.0116568,2731,17480,1.3
836753516572119041,Meera,doggo,https://pbs.twimg.com/media/C5y-4VwWcAIcaoj.jpg,1,mortarboard,0.936882,academic gown,0.0208154,schipperke,0.0115635,5237,21029,1.2
836380477523124226,Ava,pupper,https://pbs.twimg.com/media/C5trm6iWgAQ22Hw.jpg,1,wooden spoon,0.0824886,sliding door,0.0610164999999999,grand piano,0.0550861,3337,16037,1.2
833124694597443584,Gidget,pupper,https://pbs.twimg.com/media/C4_ad1IUoAEspsk.jpg,3,cardigan,0.7105229999999999,kelpie,0.106102,shopping cart,0.0554755,5513,22133,1.2
832998151111966721,Rhino,doggo,https://pbs.twimg.com/media/C49nZavUYAEJjGw.jpg,1,boxer,0.539036,french bulldog,0.317617,bull mastiff,0.0939285,2522,14549,1.3
832273440279240704,Smiley,doggo,https://pbs.twimg.com/ext_tw_video_thumb/832273373149413377/pu/img/qOqxM0b48fEarmq6.jpg,1,pembroke,0.134081,ice bear,0.0519278,pug,0.0443109,2673,12385,1.4
832032802820481025,Miguel,doggo,https://pbs.twimg.com/media/C4v5a4UWcAIRygc.jpg,1,whippet,0.601712,ibizan hound,0.152662,italian greyhound,0.135055,4746,13887,1.2
